Department_old,Department_new,ChangeVis_Department_old,ChangeVis_Department_new
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
TD,TD,0,0
Manage Department,MD,0,3
Manage Department,MD,0,3
Manage Department,MD,0,3
Manage Department,MD,0,3
Manage Department,MD,0,3
Manage Department,MD,0,3
Manage Department,MD,0,3
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
Sales Department,Sales Department,0,0
