id,math,art,ChangeVis_id,ChangeVis_math,ChangeVis_art
01-Bob,87,79,0,0,0
02-Lily,92,77,0,0,0
02-Lily,92,77,0,0,0
03-Ivy,74,80,0,0,0
04-Alan,64,93,0,0,0
05-John,68,81,0,0,0
05-John,68,81,0,0,0
06-Tom,9,75,0,0,0
07-Iris,71,84,0,0,0
07-Iris,71,84,0,0,0
08-David,65,91,0,0,0
09-Tony,57,65,0,0,0
10-Eric,85,45,0,0,0
11-Jim,82,99,0,0,0
11-Jim,82,99,0,0,0
12-Ken,84,92,0,0,0
13-Judy,81,74,0,0,0
14-Mandy,67,165,0,0,0
15-Tina,72,90,0,0,0
15-Tina,72,90,0,0,0
16-Sara,75,8,0,0,0
17-Diana,82,66,0,0,0
18-Amy,89,44,0,0,0
19-Kelly,77,67,0,0,0
20-Leo,89,100,0,0,0
21-Mark,67,40,0,0,0
22-Nick,96,88,0,0,0
23-William,78,92,0,0,0
21-Mark,67,40,0,0,0
24-Gary,81,45,0,0,0
25-Peter,99,86,0,0,0
26-Marlon,55,47,0,0,0
27-Evan,76,78,0,0,0
28-Hardy,56,90,0,0,0
29-Betty,56,87,0,0,0
30-Polly,95,24,0,0,0
