Model,Rate,Value_Retention,Launch_Date,Launch_Year,Sale_Price,Resale_Num,Resale_Price
Buick_Park Avenue,F,0.386,2011/5/10,2011,38.8,22,14.99
Ford_Mustang,F,0.39,11/10/2015,11,76.4,17,29.83
Audi_S3,F,0.521,2016/7/10,2016,39.98,35,20.83
Audi_S5,F,0.529,09/10/2015,09,67.9,5,35.92
Ford_Focus,C,0.599,2016/8/1,2016,13.08,1255,7.83
Audi_S4,C,0.607,06/15/2018,06,45.98,14,27.93
Buick_Encore,C,0.639,2016/6/20,2016,13.99,1825,8.94
Mercedes_GLC300,C,0.646,2015/11/15,2015,48.6,326,31.41
Honda_Odyssey,C,0.65,2015/7/10,2015,22.98,384,14.94
BMW_330i,C,0.674,2016/9/10,2016,45.2,521,30.45
